Organism
Yarrowia lipolytica
Escherichia coli
Escherichia coli
Saccharopolyspora erythraea
Corynebacterium glutamicum
Rhodobacter capsulatus
Saccharomyces cerevisiae
Escherichia coli
Saccharomyces cerevisiae
Yarrowia lipolytica
Saccharomyces cerevisiae
Synechocystis sp
Armillaria gallica
Saccharomyces cerevisiae
Streptomyces fradiae
Escherichia coli
Aspergillus pseudoterreus
Saccharomyces cerevisiae
Aspergillus oryzae
Corynebacterium glutamicum
Cupriavidus necator
Escherichia coli
Escherichia coli
Escherichia coli
Escherichia coli
Saccharomyces cerevisiae
Escherichia coli
Escherichia coli
Clostridium carboxidivorans
Escherichia coli
Escherichia coli
Escherichia coli
Saccharomyces cerevisiae
Streptomyces ahygroscopicus
Escherichia coli
Escherichia coli
Saccharomyces cerevisiae
Polaromonas sp
Pseudomonas putida
Ochrobactrum anthropi
Streptomyces hygroscopicus
Acidaminococcus sp
Escherichia coli
Yarrowia lipolytica
Deinococcus radiodurans
Gluconobacter oxydans
Escherichia coli
Corynebacterium glutamicum
Saccharomyces yeast
Streptomyces tsukubaensis
